사업명,부품관리번호,재고번호,군급분류,품명,도면번호,도면부품번호,규격번호,계약업체,최종수정일
K-2 전차,M51894958,37A145311,5315.0,"핀,스프링식",MS39086,MS39086-287,,주식회사 디앤비,2021-06-14
K-2 전차,M00044086,375011626,2540.0,"핀,잠금식,의자용",60703420,60703420,,주식회사 경성엠티,
K-2 전차,M51367008,375189842,1015.0,"지지대조립체,전차장용",61503621,61503621,,현대로템 주식회사,
K-2 전차,M51367033,375189844,2530.0,"보호대조립체,포수용",61503653,61503653,,현대로템 주식회사,
K-2 전차,M00043269,375189847,2510.0,지지대,61503695,61503695,,현대로템 주식회사,
K-2 전차,M00043270,375190826,5310.0,"너트,평면형,육각형",61503696,61503696,,태창정밀,
K-2 전차,M00043271,375190827,5325.0,조임쇠,61503697,61503697,,현대로템 주식회사,
K-2 전차,M00042525,375220312,5330.0,"시일,밀봉형",61506352,61506352,,덕인산업,2021-06-14
K-2 전차,M00042526,375166290,6110.0,"제어기,전동기용",61506901,61506901,,건웅테크 주식회사,
K-2 전차,M51854427,37A170956,5999.0,"차폐 개스킷,전자식",,,MIL-DTL-83528,한화에어로스페이스 주식회사,
K-2 전차,M51076375,375247906,1015.0,"연결기,격발전원공급용",20032801,20032801,,중앙플랜텍 주식회사,
K-2 전차,M51076383,375284140,1015.0,"면포,탄피방출 보호대용",20032822,20032822,,주식회사 천명하이텍,
K-2 전차,M00044010,375220310,5330.0,"시일,비금속 띠형",61506045,61506045,,한양산업,2021-06-14
K-2 전차,M51053819,37A133876,3120.0,"베어링, 플레인형,",,,,예지정밀,
K-2 전차,M51345530,375013738,5310.0,"와셔,평면형",60799301,60799319,,태창정밀,
K-2 전차,M51345534,375013737,5310.0,"와셔,평면형",60799301,60799325,,태창정밀,
K-2 전차,M51345538,375013764,5310.0,"와셔,평면형",60799301,60799335,,태창정밀,
K-2 전차,M00043368,375550060,5340.0,"완충기,비금속제",60725711,60725711,,현대로템 주식회사,
K-2 전차,M00043369,375013560,3120.0,"부싱,슬리브형",60725713,60725714,,부산교도소,
K-2 전차,M00044029,375166690,6110.0,"제어기, 자동장전용",61507820,61507820,,현대로템 주식회사,
K-2 전차,M51345523,375013679,5310.0,"와셔,평면형",60799301,60799311,,태창정밀,
K-2 전차,M51076390,375254348,5340.0,"멈치,기계용",20032830,20032830,,삼호정밀,
K-2 전차,M51076391,375247912,5930.0,"스위치,근접식",20032831,20032831,,중앙플랜텍 주식회사,
