번호,국가,제목,등록일자
1,일본,[정보요청서] 일본 해상자위대 차기 전자정보 수집항공기,2021-09-16
2,쿠웨이트,[정보요청서] 8년 미만 중고 유류지원함,2021-04-27
3,인도,[정보요청서] 155mm/52구경 자주포,2021-04-21
4,필리핀,"[해외방산시장동향] 필리핀, 방위산업단지 조성 예정",2021-03-26
5,미국,[정보요청서] 군용 야간투시경,2021-03-26
6,브라질,[정보요청서] 브라질 8×8 차륜형 장갑차 (105mm 이상 주포 장착),2021-03-22
7,미국,[정보요청서] 미국 육군 레이저 표적지시기,2021-02-18
8,페루,"[해외방산시장동향] 페루, 2021년 국방 예산 승인",2021-01-15
9,사우디아라비아,[해외입찰정보] 사우디 군용 컴퓨터 및 악세서리,2020-12-31
10,알제리,[해외입찰정보] 알제리 함정용 엔진,2020-12-31
11,방글라데시,[해외입찰정보] 방글라데시 전투기용 플레어&amp;체프,2020-12-31
12,방글라데시,[해외입찰정보] 방글라데시 비가연성 방탄조끼,2020-12-31
13,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-12-31
14,태국,[해외입찰정보] 태국 견인 트럭 및 트레일러 차량,2020-12-31
15,폴란드,[해외입찰정보] 폴란드 방탄보호의,2020-12-31
16,폴란드,[해외입찰정보] 폴란드 탄약,2020-12-31
17,에스토니아,[해외입찰정보] 에스토니아 수류탄,2020-12-31
18,폴란드,[해외입찰정보] 폴란드 군용헬멧,2020-12-31
19,말레이시아,"[해외방산시장동향] 말레이시아, LCA/FLIT 프로그램 자금 지원 승인",2020-12-24
20,그리스,[해외입찰정보] 그리스 무인항공기,2020-12-24
21,독일,[해외입찰정보] 독일 개인 지원용 장구류,2020-12-24
22,스페인,[해외입찰정보] 스페인 군복,2020-12-24
23,아일랜드,[해외입찰정보] 아일랜드 군용 장갑차,2020-12-24
24,필리핀,[해외입찰정보] 필리핀 76mm 탄약,2020-12-24
25,사우디아라비아,"[해외방산시장동향] 사우디아라비아, 2021년 국방예산 삭감",2020-12-24
26,남아프리카공화국,[해외입찰정보] 남아프리카공화국 얼굴 인식 시스템,2020-12-24
27,방글라데시,[해외입찰정보] 방글라데시 전술 나이프,2020-12-24
28,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-12-24
29,싱가포르,[해외입찰정보] 싱가포르 F15용 배터리,2020-12-24
30,필리핀,[해외입찰정보] 필리핀 25mm 탄약,2020-12-24
31,체코,[해외입찰정보] 체코 화생방 방호복,2020-12-22
32,체코,[해외입찰정보] 체코 기관총,2020-12-22
33,독일,[해외입찰정보] 독일 장갑차,2020-12-22
34,스리랑카,[해외입찰정보] 스리랑카 저전압 전류 분배기,2020-12-21
35,칠레,[해외입찰정보] 칠레 타겟 및 정찰용 드론,2020-12-21
36,네팔,[해외입찰정보] 네팔 군복 원단,2020-12-21
37,방글라데시,[해외입찰정보] FM 무전기용 부품,2020-12-21
38,파키스탄,[해외입찰정보] 파키스탄 32배럴 샷건,2020-12-21
39,체코,[해외입찰정보] 체코 기관총,2020-12-14
40,체코,[해외입찰정보] 체코 화생방 방호의,2020-12-14
41,슬로바키아,[해외입찰정보] 슬로바키아 보호복,2020-12-14
42,독일,[해외입찰정보] 독일 장갑차,2020-12-14
43,브라질,[해외입찰정보] 브라질 9mm 권총,2020-12-11
44,남아프리카공화국,[해외입찰정보] 남아프리카공화국 탄약,2020-12-11
45,방글라데시,[해외입찰정보] 방글라데시 전술보안경,2020-12-11
46,싱가포르,[해외입찰정보] 싱가포르 F16용 부품,2020-12-11
47,필리핀,[해외입찰정보] 필리핀 25mm 탄약,2020-12-11
48,필리핀,[해외입찰정보] 필리핀 76mm 고폭약,2020-12-11
49,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-12-07
50,프랑스,[해외입찰정보] 프랑스 군용 헬멧,2020-12-07
51,영국,[해외입찰정보] 영국 군복,2020-12-07
52,스페인,[해외입찰정보] 스페인 군용차량 부품,2020-12-07
53,방글라데시,[해외입찰정보] 방글라데시 대공화기 시뮬레이션 시스템,2020-12-04
54,태국,[해외입찰정보] 태국 샷건,2020-12-04
55,남아프리카공화국,[해외입찰정보] 남아프리카공화국 치안유지장비,2020-12-04
56,브라질,[해외입찰정보] 브라질 연막탄,2020-12-04
57,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-12-04
58,페루,[해외입찰정보] 싱가포르 F16용 부품,2020-12-04
59,루마니아,[해외입찰정보] 루마니아 권총,2020-11-27
60,싱가포르,[해외입찰정보] 싱가포르 F15용 부품,2020-11-27
61,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-11-27
62,페루,[해외입찰정보] 페루 치안유지장비,2020-11-27
63,몬테네그로,[해외입찰정보] 폴란드 군용차량 및 관련부품,2020-11-27
64,핀란드,[해외입찰정보] 핀란드 탄약통,2020-11-27
65,남아프리카공화국,[해외입찰정보] 남아프리카공화국 소총 등,2020-11-27
66,남아프리카공화국,[해외입찰정보] 남아프리카공화국 치안유지장비,2020-11-27
67,슬로베니아,[해외입찰정보] 슬로베니아 탄약 및 관련 부품,2020-11-27
68,불가리아,[해외입찰정보] 불가리아 개인용 장구류,2020-11-21
69,그리스,[해외입찰정보] 그리스 군용 위장자켓,2020-11-21
70,핀란드,[해외입찰정보] 핀란드 방탄조끼,2020-11-21
71,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-11-21
72,싱가포르,[해외입찰정보] 싱가포르 F16부품,2020-11-20
73,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-11-20
74,태국,[해외입찰정보] 태국 샷건,2020-11-20
75,칠레,[해외입찰정보] 칠레 연습용 탄약,2020-11-20
76,말레이시아,[해외입찰정보] 말레이시아 전자 사격 시스템,2020-11-20
77,방글라데시,[해외입찰정보] 방글라데시 윤활유,2020-11-20
78,스페인,[해외입찰정보] 스페인 소형화기,2020-11-13
79,폴란드,[해외입찰정보] 폴란드 155mm 시험용 탄약,2020-11-13
80,덴마크,[해외입찰정보] 덴마크 4륜구동 차량,2020-11-13
81,방글라데시,[해외입찰정보] 방글라데시 유류저장통,2020-11-13
82,방글라데시,[해외입찰정보] 방글라데시 발전기,2020-11-13
83,칠레,[해외입찰정보] 칠레 가상 슈팅 시스템,2020-11-13
84,콜롬비아,[해외입찰정보] 콜롬비아 샷건용 탄약,2020-11-13
85,벨기에,[해외입찰정보] 벨기에 탄약,2020-11-13
86,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-11-13
87,콩고,[해외입찰정보] 콩고 장갑 수송차,2020-11-13
88,이탈리아,[해외입찰정보] 이탈리아 화생방 의복,2020-11-06
89,이탈리아,[해외입찰정보] 이탈리아 군용항공기,2020-11-06
90,키프로스,[해외입찰정보] 키프로스 4륜구동차량,2020-11-06
91,프랑스,[해외입찰정보] 프랑스 군함용 부품,2020-11-06
92,남아프리카공화국,[해외입찰정보] 남아프리카공화국 소총,2020-10-30
93,독일,[해외입찰정보] 독일 군함용 엔진 및 부품,2020-10-30
94,그리스,[해외입찰정보] 그리스 함정용 엔진 및 부품,2020-10-30
95,루마니아,[해외입찰정보] 루마니아 미사일,2020-10-30
96,가나,[해외입찰정보] 가나 치안유지 장비,2020-10-30
97,오스트리아,[해외입찰정보] 오스트리아 탄약,2020-10-30
98,벨기에,"[해외입찰정보] 벨기에 무기, 탄약 및 관련부품",2020-10-30
99,페루,[해외입찰정보] 페루 의류 악세서리,2020-10-30
100,필리핀,[해외입찰정보] 필리핀 수류탄,2020-10-30
101,필리핀,[해외입찰정보] 필리핀 40mm 유탄발사기,2020-10-30
102,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-10-30
103,슬로바키아,[해외입찰정보] 슬로바키아 화생방 방호복,2020-10-30
104,독일,[해외입찰정보] 독일 군사전자시스템,2020-10-23
105,방글라데시,[해외입찰정보] 방글라데시 C130J용 항전장비,2020-10-23
106,필리핀,[해외입찰정보] 필리핀 14.5mm 탄약,2020-10-23
107,필리핀,[해외입찰정보] 필리핀 저격소총,2020-10-23
108,싱가포르,[해외입찰정보] 싱가포르 C130용 부품,2020-10-23
109,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-10-23
110,영국,[해외입찰정보] 영국 전투 시뮬레이터,2020-10-23
111,프랑스,[해외입찰정보] 프랑스 군함용 부품,2020-10-23
112,폴란드,[해외입찰정보] 폴란드 탄약,2020-10-23
113,영국,[해외입찰정보] 영국 총기,2020-10-23
114,그리스,[해외입찰정보] 그리스 군함용 엔진 및 엔진부품,2020-10-23
115,싱가포르,[방산시장동향] 싱가포르 함정용 부품,2020-10-16
116,싱가포르,[해외입찰정보] 싱가포르 F16용 부품,2020-10-16
117,필리핀,[해외입찰정보] 필리핀 수류탄,2020-10-16
118,루마니아,[해외입찰정보] 루마니아 지휘 및 연락 차량,2020-10-16
119,스페인,[해외입찰정보] 스페인 기타무기,2020-10-16
120,남아프리카공화국,[해외입찰정보] 남아공 훈련용 타겟,2020-10-16
121,루마니아,[해외입찰정보] 루마니아 총기 및 탄약,2020-10-16
122,그리스,[해외입찰정보] 그리스 군함용 엔진 및 엔진부품,2020-10-16
123,노르웨이,[해외입찰정보] 노르웨이 보트,2020-10-16
124,프랑스,[해외입찰정보] 프랑스 긴급대응차량,2020-10-16
125,영국,"[해외입찰정보] 영국 무기, 탄약 및 관련 부품",2020-10-09
126,그리스,[해외입찰정보] 그리스 쌍안경,2020-10-09
127,프랑스,[해외입찰정보] 프랑스 안테나 및 반사경,2020-10-09
128,아일랜드,[해외입찰정보] 아일랜드 방탄복,2020-10-09
129,영국,"[해외입찰정보] 영국 경찰용 무기, 탄약 및 관련 부품",2020-10-09
130,마케도니아,[해외입찰정보] 북마케도니아 방탄조끼,2020-10-09
131,필리핀,[해외입찰정보] 필리핀 7.62mm 탄약,2020-10-08
132,스리랑카,[해외입찰정보] 스리랑카 컴프레셔,2020-10-08
133,필리핀,[해외입찰정보] 필리핀 38mm 탄약,2020-10-08
134,남아프리카공화국,[해외입찰정보] 남아공 개인용 권총집 등,2020-10-08
135,필리핀,[해외입찰정보] 필리핀 샷건 및 권총,2020-10-08
136,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-10-08
137,스리랑카,[해외입찰정보] 스리랑카 탄약,2020-09-29
138,브라질,[해외입찰정보] 브라질 105mm 고폭약,2020-09-29
139,노르웨이,[해외입찰정보] 노르웨이 군복,2020-09-29
140,그리스,[해외입찰정보] 그리스 무인항공기,2020-09-29
141,루마니아,[해외입찰정보] 루마니아 방호복,2020-09-29
142,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-09-25
143,에스토니아,[해외입찰정보] 에스토니아 탄약,2020-09-25
144,독일,[해외입찰정보] 독일 전투복,2020-09-25
145,벨기에,[해외입찰정보] 벨기에 정찰 및 순찰차량,2020-09-25
146,영국,[해외입찰정보] 영국 무인항공기,2020-09-25
147,남아프리카공화국,[해외입찰정보] 남아프리카공화국 5.56mm 탄약 등,2020-09-25
148,이탈리아,[해외입찰정보] 이탈리아 군함용 엔진 및 엔진부품,2020-09-25
149,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-09-25
150,스리랑카,[해외입찰정보] 스리랑카 화재감지시스템,2020-09-25
151,방글라데시,[해외입찰정보] 방글라데시 군용 허리띠,2020-09-25
152,말레이시아,[해외입찰정보] 말레이시아 5.56mm 소총 및 악세서리,2020-09-25
153,영국,[해외입찰정보] 영국 전차용 전투 시뮬레이터,2020-09-25
154,프랑스,"[해외입찰정보] 프랑스 무기, 탄약 및 관련부품",2020-09-18
155,그리스,[해외입찰정보] 그리스 무인항공기,2020-09-18
156,영국,[해외입찰정보] 영국 군용차량 관련부품,2020-09-18
157,독일,[해외입찰정보] 독일 개인용 장구류,2020-09-18
158,독일,[해외입찰정보] 독일 지휘통제차량,2020-09-18
159,스페인,[해외입찰정보] 스페인 군함용 엔진부품,2020-09-18
160,네팔,[해외입찰정보] 네팔 무장경찰용 경찰복,2020-09-18
161,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-09-18
162,싱가포르,[해외입찰정보] 싱가포르 F16용 부품,2020-09-18
163,칠레,[해외입찰정보] 칠레 개인용 침구류,2020-09-18
164,필리핀,[해외입찰정보] 필리핀 40mm 고폭약,2020-09-18
165,필리핀,[해외입찰정보] 필리핀 5.56mm 소총,2020-09-18
166,이탈리아,[해외입찰정보]이탈리아 군용차량 예비부품,2020-09-11
167,체코,[해외입찰정보]체코 방호복,2020-09-11
