번호,국가,제목,등록일자
168,불가리아,"[해외입찰정보]불가리아 정보, 감시, 표적 획득 및 정찰",2020-09-11
169,네팔,"[해외입찰정보] 네팔 무장경찰용 경찰화, 경찰복 등",2020-09-11
170,스리랑카,[해외입찰정보] 사막 위장용 군복 소재,2020-09-11
171,레바논,[해외입찰정보] 레바논 소총 및 악세서리,2020-09-11
172,핀란드,[해외입찰정보]소형화기용 탄약,2020-09-11
173,독일,[해외입찰정보]독일 탄약,2020-09-11
174,방글라데시,[해외입찰정보] 방글라데시 고무보트,2020-09-11
175,방글라데시,[해외입찰정보] 방글라데시 폴리아미드 로프,2020-09-11
176,이탈리아,[해외입찰정보] 이탈리아 군용차량 예비부품,2020-09-11
177,체코,[해외입찰정보] 체코 방호복,2020-09-11
178,독일,[해외입찰정보] 독일 탄약,2020-09-11
179,핀란드,[해외입찰정보] 핀란드 소형화기용 탄약,2020-09-11
180,폴란드,[해외입찰정보] 폴란드 군용 헬멧,2020-09-11
181,불가리아,"[해외입찰정보] 불가리아 정보, 감시, 표적 획득 및 정찰",2020-09-11
182,폴란드,[해외입찰정보]폴란드 군용 헬멧,2020-09-11
183,콜롬비아,[해외입찰정보] 콜롬비아 5.56mm 탄약,2020-09-04
184,싱가포르,[해외방산시장동향] 싱가포르 함정용 부품,2020-09-04
185,폴란드,[해외입찰정보] 폴란드 탄약,2020-09-04
186,싱가포르,[해외입찰정보] 아파치(AH-64D)용 부품,2020-09-04
187,칠레,[해외입찰정보] 칠레 훈련용 타겟,2020-09-04
188,페루,[해외입찰정보] 페루 샷건,2020-09-04
189,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-09-04
190,리투아니아,[해외입찰정보] 리투아니아 방독면,2020-09-04
191,영국,[해외입찰정보] 영국 전투함 및 관련부품,2020-09-04
192,슬로베니아,[해외입찰정보] 슬로베니아 보호용 장비,2020-09-04
193,독일,[해외입찰정보] 독일 군용차량 관련부품,2020-09-04
194,마케도니아,[해외입찰정보] 북마케도니아 군용 화기 및 전쟁용 탄약,2020-09-04
195,독일,[해외입찰정보] 독일 전투복,2020-08-31
196,폴란드,[해외입찰정보] 폴란드 군복,2020-08-31
197,덴마크,[해외입찰정보] 덴마크 4륜구동차량,2020-08-31
198,폴란드,[해외입찰정보] 폴란드 전자전시스템 및 대응장비,2020-08-31
199,그리스,[해외입찰정보] 그리스 군함용 엔진 및 엔진부품,2020-08-31
200,영국,[해외입찰정보] 영국 군용차량 관련부품,2020-08-31
201,싱가포르,[해외입찰정보] 싱가포르 F16부품,2020-08-28
202,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-08-28
203,싱가포르,[해외입찰정보] 싱가포르 치누크(CH-47)용 부품,2020-08-28
204,필리핀,[해외입찰정보] 필리핀 훈련용 탄약,2020-08-28
205,필리핀,[해외입찰정보] 필리핀 12게이지 샷건,2020-08-28
206,불가리아,[해외입찰정보] 불가리아 개인용 장구류,2020-08-24
207,루마니아,[해외입찰정보] 루미나아 화생방 방호장비,2020-08-24
208,영국,[해외입찰정보] 영국 군용차량관련부품,2020-08-24
209,이탈리아,[해외입찰정보] 이탈리아 기타무기(Miscellaneous weapon),2020-08-24
210,체코,[해외입찰정보] 체코 군용차량부품,2020-08-24
211,루마니아,"[해외입찰정보] 루마니아 지휘, 통제, 통신 및 컴퓨터 시스템",2020-08-24
212,싱가포르,[해외입찰정보] 싱가포르 항공기 표지기호,2020-08-21
213,필리핀,[해외입찰정보] 필리핀 Cal. 45 권총용 탄약,2020-08-21
214,필리핀,[해외입찰정보] 필리핀 9mm 탄약,2020-08-21
215,싱가포르,[해외입찰정보] 싱가포르 함정용 부식방지제,2020-08-21
216,싱가포르,[해외입찰정보] 싱가포르 C130용 안티락 센서,2020-08-21
217,남아프리카공화국,[해외입찰정보] 남아프리카공화국 9mm 탄약,2020-08-21
218,스페인,[해외입찰정보] 스페인 개인용 장구류,2020-08-14
219,에스토니아,[해외입찰정보] 에스토니아 수류탄,2020-08-14
220,네덜란드,[해외입찰정보] 네덜란드 무인항공기,2020-08-14
221,싱가포르,[해외입찰정보] 싱가포르 아파치(AH-64)부품,2020-08-14
222,영국,[해외입찰정보] 영국 잠수함,2020-08-14
223,폴란드,"[해외입찰정보] 폴란드 총기, 탄약 및 관련 부품",2020-08-14
224,남아프리카공화국,[해외입찰정보] 남아공 12게이지 탄약,2020-08-14
225,싱가포르,[해외입찰정보] 싱가포르 F16부품,2020-08-14
226,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-08-14
227,필리핀,[해외입찰정보] 필리핀 5.56mm 탄약,2020-08-14
228,필리핀,[해외입찰정보] 필리핀 7.62mm 탄약 등,2020-08-14
229,체코,[해외입찰정보] 체코 전투장비,2020-08-09
230,그리스,[해외입찰정보] 그리스 전투복,2020-08-09
231,스웨덴,[해외입찰정보] 스웨덴 탄약,2020-08-09
232,폴란드,[해외입찰정보] 폴란드 유탄발사기,2020-08-09
233,벨기에,"[해외입찰정보] 벨기에 총기, 탄약 및 관련부품",2020-08-09
234,포르투갈,"[해외입찰정보] 포르투갈 총기, 탄약 및 관련부품",2020-08-09
235,필리핀,[해외입찰정보] 필리핀 돌격소총,2020-08-07
236,필리핀,[해외입찰정보] 필리핀 9mm 탄약,2020-08-07
237,필리핀,[해외입찰정보] 필리핀 샷건,2020-08-07
238,싱가포르,[해외입찰정보] 싱가포르 F15부품,2020-08-07
239,싱가포르,[해외입찰정보] 싱가포르 F16 부품,2020-08-07
240,콜롬비아,[해외입찰정보] 콜롬비아 치안유지용 샷건,2020-08-07
241,리투아니아,[해외입찰정보] 리투아니아 경찰제복,2020-07-31
242,영국,[해외입찰정보] 영국 군용차량부품,2020-07-31
243,폴란드,[해외입찰정보] 폴란드 군용헬멧,2020-07-31
244,벨기에,[해외입찰정보] 벨기에 병력수송장갑차,2020-07-31
245,리투아니아,[해외입찰정보] 리투아니아 방독면,2020-07-31
246,말레이시아,[해외입찰정보] 말레이시아 치안유지용 전기충격총,2020-07-31
247,폴란드,[해외입찰정보] 폴란드 전투복,2020-07-31
248,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-07-31
249,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-07-31
250,브라질,[해외입찰정보] 브라질 탄약,2020-07-31
251,필리핀,[해외입찰정보] 필리핀 9mm 탄약,2020-07-31
252,필리핀,[해외입찰정보] 필리핀 돌격소총,2020-07-31
253,필리핀,[해외입찰정보] 필리핀 순찰용보트,2020-07-31
254,파키스탄,[해외입찰정보] 중형 총탄 &amp; 그 구성품(40mm-106mm),2020-07-24
255,필리핀,[해외입찰정보] 필리핀 탄약,2020-07-24
256,필리핀,[해외입찰정보] 필리핀 권총 및 산탄총 탄약,2020-07-24
257,필리핀,[해외입찰정보] 필리핀 120mm 고폭탄,2020-07-24
258,이탈리아,[해외입찰정보] 이탈리아 방호복,2020-07-24
259,인도,[해외입찰정보] 인도 지상고도 30mm HE탄,2020-07-24
260,인도,[해외입찰정보] 인도 해군학교 10M 소총 및 권총 타겟 외,2020-07-24
261,인도,[해외입찰정보] 155mm M-107 표준탄피,2020-07-24
262,벨기에,"[해외입찰정보] 벨기에 무기, 탄약 및 관련 부품",2020-07-24
263,에스토니아,[해외입찰정보] 에스토니아 경화기 부품,2020-07-24
264,폴란드,[해외입찰정보] 폴란드 전투복,2020-07-24
265,루마니아,[해외입찰정보] 루마니아 지휘연락차량,2020-07-24
266,스페인,[해외입찰정보] 스페인 방탄조끼,2020-07-24
267,스위스,[해외입찰정보] 스위스 방호장비,2020-07-20
268,포르투갈,[해외입찰정보] 포르투갈 코르벳함과 순찰선,2020-07-20
269,스웨덴,"[해외입찰정보] 스웨덴 보안, 소방, 경찰 및 방위 장구류",2020-07-20
270,포르투갈,[해외입찰정보] 포르투갈 군복,2020-07-20
271,프랑스,[해외입찰정보] 프랑스 군용 제트스키 및 부품,2020-07-20
272,핀란드,[해외입찰정보] 핀란드 전투기용 탄약,2020-07-20
273,오만,[해외입찰정보] 오만 육군 훈련용 표적,2020-07-17
274,싱가포르,[해외입찰정보] 싱가포르 F15 부품,2020-07-17
275,필리핀,[해외입찰정보] 5.56mm 탄약,2020-07-17
276,브라질,[해외입찰정보] 브라질 탄약,2020-07-17
277,싱가포르,[해외입찰정보] 싱가포르 F16 부품,2020-07-17
278,싱가포르,[해외입찰정보] 싱가포르 치누크 부품,2020-07-17
279,싱가포르,[해외입찰정보] 싱가포르 A330용 부품,2020-07-17
280,싱가포르,[해외입찰정보] 싱가포르 치누크 부품,2020-07-10
281,스페인,[해외입찰정보] 스페인 레이더,2020-07-10
282,독일,[해외입찰정보] 독일 개인용 장구류,2020-07-10
283,스페인,[해외입찰정보] 스페인 방탄조끼,2020-07-10
284,체코,[해외입찰정보] 체코 총기,2020-07-10
285,칠레,[해외입찰정보] 칠레 치안유지용 샷건,2020-07-10
286,필리핀,[해외입찰정보] 필리핀 9mm 탄약 등,2020-07-10
287,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-07-10
288,핀란드,[해외입찰정보] 핀란드 무인항공기,2020-07-10
289,브라질,[해외입찰정보] 브라질 경찰용 9mm 권총,2020-07-10
290,그리스,[해외입찰정보] 그리스 감시·보안 시스템 및 장비,2020-07-10
291,싱가포르,[해외입찰정보] 싱가포르 F16부품,2020-07-03
292,싱가포르,[해외입찰정보] 싱가포르 C130용 부품,2020-07-03
293,필리핀,[해외입찰정보] 필리핀 M16용 탄창,2020-07-03
294,스리랑카,[해외입찰정보] 스리랑카 가죽 경찰화,2020-07-03
295,노르웨이,[해외입찰정보] 노르웨이 군함용 엔진부품,2020-07-03
296,필리핀,[해외입찰정보] 필리핀 M193 탄약,2020-07-03
297,필리핀,[해외입찰정보] 필리핀 5.56mm 탄약 등,2020-07-03
298,필리핀,[해외입찰정보] 필리핀 9mm 권총,2020-07-03
299,독일,[해외입찰정보] 독일 탄약통,2020-07-03
300,스페인,[해외입찰정보] 스페인 경찰용 탄약,2020-07-03
301,스페인,[해외입찰정보] 스페인 방탄복,2020-07-03
302,이탈리아,[해외입찰정보] 이탈리아 군용 항공 우주 장비 부속품,2020-07-03
303,폴란드,[해외입찰정보] 폴란드 군복,2020-07-03
304,네팔,[해외입찰정보] 네팔 치안유지장비,2020-06-26
305,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-06-26
306,필리핀,[해외입찰정보] 필리핀 9mm 탄약,2020-06-26
307,네덜란드,[해외입찰정보] 네덜란드 커뮤니케이션 네트워크 시스템 및 장비,2020-06-26
308,독일,[해외입찰정보] 독일 탄약,2020-06-26
309,싱가포르,[해외입찰정보] 싱가포르 F16 부품,2020-06-26
310,포르투갈,"[해외입찰정보] 포르투갈 군용 총기, 탄약 및 관련 부품",2020-06-26
311,필리핀,[해외입찰정보] 필리핀 12게이지 샷건 탄약 등,2020-06-26
312,필리핀,[해외입찰정보] 필리핀 치안유지용 돌격소총,2020-06-26
313,필리핀,[해외입찰정보] 필리핀 탄창,2020-06-26
314,슬로베니아,[해외입찰정보] 슬로베니아 미사일,2020-06-26
315,에스토니아,[해외입찰정보] 에스토니아 군용차량 부품 및 구성품,2020-06-26
316,폴란드,[해외입찰정보] 폴란드 전자 사격 표적 장치,2020-06-26
317,방글라데시,[해외입찰정보] 치안유지용 수갑,2020-06-19
318,인도,[해외입찰정보] 육군 저격용 12.7mm 탄약,2020-06-19
319,싱가포르,[해외입찰정보] 싱가포르 해군 함정용 부품,2020-06-19
320,싱가포르,[해외입찰정보] 싱가포르 항공기용 부품,2020-06-19
321,싱가포르,[해외입찰정보] 싱가포르 F15 부품,2020-06-19
322,필리핀,[해외입찰정보] 필리핀 코브라(AH-1S)용 20mm 탄약,2020-06-19
323,스웨덴,[해외입찰정보] 스웨덴 소형 화기,2020-06-19
324,크로아티아,[해외입찰정보] 크로아티아 감시·보안 시스템 및 장비,2020-06-19
325,스페인,[해외입찰정보] 스페인 전투화,2020-06-19
326,필리핀,[해외입찰정보] 필리핀 군용 총기 멜빵,2020-06-19
327,이탈리아,[해외입찰정보] 이탈리아 함정용엔진,2020-06-19
328,핀란드,[해외입찰정보] 핀란드 전투복,2020-06-19
329,폴란드,[해외입찰정보] 폴란드 전투복,2020-06-19
330,마케도니아,[해외입찰정보] 북마케도니아 베레모,2020-06-13
331,루마니아,[해외입찰정보] 루마니아 군복,2020-06-13
332,스페인,[해외입찰정보] 스페인 방탄복,2020-06-13
333,스페인,[해외입찰정보] 스페인 방탄헬멧 위장피,2020-06-13
334,이탈리아,[해외입찰정보] 이탈리아 정찰기,2020-06-13
335,포르투갈,[해외입찰정보] 포르투갈 군복,2020-06-13
336,필리핀,[해외입찰정보] 필리핀 경찰용 9mm 탄약,2020-06-12
337,필리핀,[해외입찰정보] 필리핀 경찰용 5.56mm 탄약,2020-06-12
338,싱가포르,[해외입찰정보] 싱가포르 F16 부품,2020-06-12
339,싱가포르,[해외입찰정보] 싱가포르 치누크용 부품,2020-06-12
340,방글라데시,[해외입찰정보] 방글라데시 공항 치안유지용 샷건,2020-06-12
341,남아프리카공화국,[해외입찰정보] 남아프리카공화국 치안 유지용 9mm 권총,2020-06-12
342,에스토니아,[해외입찰정보] 에스토니아 수류탄,2020-06-05
343,필리핀,[해외입찰정보] 필리핀 시험용 5.56mm 소총,2020-06-05
344,포르투갈,[해외입찰정보] 포르투갈 군복,2020-06-05
345,슬로베니아,"[해외입찰정보] 슬로베니아 의료장비, 의약품 및 개인관리 제품",2020-06-05
346,체코,[해외입찰정보] 체코 전투 유니폼,2020-06-05
347,폴란드,[해외입찰정보] 폴란드 경찰용 탄약,2020-06-05
348,폴란드,[해외입찰정보] 폴란드 방독면,2020-06-05
349,싱가포르,[해외입찰정보] 항공기용 부품,2020-06-05
350,필리핀,[해외입찰정보] 필리핀 시험용 Caliber 45 권총,2020-06-05
351,스리랑카,[해외입찰정보] 스리랑카 군용 다목적 4×4 차량,2020-06-05
352,인도,[해외입찰정보] 인도 실험용 직류 서플라이,2020-06-05
353,싱가포르,[해외입찰정보] 싱가포르 함정용 부품,2020-06-05
354,싱가포르,[해외입찰정보] F16 부품,2020-06-05
355,태국,태국 국방조달시장 분석,2020-06-02
356,인도네시아,인도네시아 국방조달시장 분석,2020-06-02
357,필리핀,[해외입찰정보] 필리핀 30mm 고폭약,2020-05-29
358,방글라데시,[해외입찰정보] 방글라데시 훈련기 터보프롭 엔진,2020-05-29
359,태국,[해외입찰정보] 태국 샷건,2020-05-29
360,싱가포르,[해외입찰정보] 싱가포르 함정 수리용 부속,2020-05-29
361,독일,[해외입찰정보] 독일 탄약,2020-05-29
362,싱가포르,[해외입찰정보] 싱가포르 함정 압력센서,2020-05-29
363,싱가포르,[해외입찰정보] 싱가포르 훈련용 시청각 시스템,2020-05-29
364,싱가포르,[해외입찰정보] 싱가포르 F16 부품,2020-05-29
365,스페인,[해외입찰정보] 스페인 지휘 및 정찰 차량,2020-05-29
366,독일,[해외입찰정보] 독일 폭탄,2020-05-29
367,폴란드,"[해외입찰정보] 폴란드 총기,탄약 및 관련 부품",2020-05-29
368,리투아니아,[해외입찰정보] 리투아니아 전투 시뮬레이터,2020-05-29
369,스웨덴,[해외입찰정보] 스웨덴 탄약,2020-05-29
