연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019,225,0,0,290,0,0,0,0,98,35,36,0,57,0,0,71,16
2020,154,0,0,220,0,0,0,0,72,19,16,0,21,0,0,61,13
2021,148,0,0,198,0,0,0,0,60,24,20,0,33,0,0,47,9
2022,122,0,0,192,0,0,0,0,51,19,21,0,22,0,0,47,7
2023,131,0,0,190,0,0,0,0,42,17,28,0,19,0,0,46,11
2024,120,0,0,151,0,0,0,0,46,16,27,0,19,0,0,42,5
