연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019,55189,0,0,35736,0,0,0,0,69105,9781,9922,0,12280,0,0,21504,4347
2020,47289,0,0,30861,0,0,0,0,61594,8449,8802,0,9924,0,0,18914,3866
2021,41899,0,0,28368,0,0,0,0,56875,7465,7700,0,10182,0,0,16591,3621
2022,41703,0,0,27870,0,0,0,0,55925,6942,7426,0,8650,0,0,16219,3479
2023,40625,0,0,26497,0,0,0,0,53499,6788,7438,0,8736,0,0,15741,3351
2024,37356,0,0,24383,0,0,0,0,50251,6466,6964,0,7933,0,0,14262,3164
