연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019,69.7,70.1,72.9,71.8,71.1,72.2,69.3,69.4,66.8,72.7,72.1,71.3,71.2,70.2,70.3,71.4,71.2
2020,70.5,70.3,73.3,70.8,70.8,73.4,69.8,68.4,67.3,72.7,71.2,71.6,70.4,70.6,70.8,70.9,71.2
2021,68.7,70.3,71.7,71.0,69.7,72.6,69.3,67.5,67.6,73.0,71.2,70.6,70.7,69.4,70.0,70.8,70.2
2022,70.3,71.2,72.7,70.2,70.4,72.8,70.5,69.2,67.0,74.0,71.0,71.2,71.1,70.1,70.2,71.6,70.8
2023,69.7,69.6,72.5,71.6,69.8,74.1,69.6,69.0,67.5,73.7,70.5,71.4,71.6,70.1,71.1,71.1,70.8
2024,69.8,70.6,71.9,70.9,69.6,72.4,69.7,68.5,66.9,73.0,71.0,71.2,71.5,69.1,70.3,70.9,70.9
