연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019,24.6,23.9,23.7,23.9,23.0,23.0,23.9,22.6,23.3,24.2,22.5,23.5,22.9,23.1,23.6,23.5,22.6
2020,24.0,23.8,23.5,24.0,23.9,22.5,24.3,22.6,23.4,24.1,22.5,23.9,22.7,22.9,23.2,23.2,22.6
2021,24.1,24.1,23.6,24.2,23.5,22.8,24.5,22.5,23.2,24.1,22.8,23.6,22.9,23.0,23.4,23.1,23.2
2022,24.2,24.1,23.5,23.8,23.4,22.7,24.4,22.7,23.4,24.1,22.6,23.6,22.6,23.2,23.6,23.5,23.1
2023,23.7,23.7,24.1,23.7,23.1,23.0,24.4,22.5,23.5,24.6,22.6,23.2,22.7,23.3,23.3,23.5,23.0
2024,24.3,24.2,23.7,23.9,23.3,22.9,24.7,22.5,23.6,24.4,22.1,23.8,22.8,23.0,23.6,23.3,22.8
