연도,지역,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독,매독(선천성),@엠폭스
2019,충청남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009.0,3,0.0,5.0,0.0,2.0,4.0,1437.0,20,721,0.0,0.0,0.0,1.0,0.0,17.0,0.0,322.0,0,236.0,0.0,3.0,20.0,4.0,381.0,9,13.0,1.0,0.0,0.0,442.0,24,0.0,0.0,52.0,0.0,0.0,7.0,20.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,
2019,전라북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3207.0,5,0.0,3.0,2.0,2.0,5.0,558.0,16,740,0.0,0.0,0.0,0.0,0.0,24.0,0.0,239.0,2,391.0,0.0,1.0,15.0,0.0,343.0,3,13.0,4.0,0.0,1.0,401.0,8,0.0,0.0,58.0,5.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,
2019,전라남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3106.0,11,0.0,2.0,0.0,10.0,13.0,164.0,32,617,0.0,1.0,0.0,0.0,0.0,13.0,0.0,239.0,0,347.0,0.0,2.0,20.0,2.0,685.0,0,18.0,7.0,0.0,1.0,667.0,13,0.0,0.0,76.0,4.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,
2019,경상북도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5539.0,12,0.0,4.0,3.0,2.0,6.0,248.0,45,844,0.0,2.0,0.0,0.0,0.0,17.0,1.0,338.0,0,476.0,0.0,5.0,28.0,1.0,412.0,5,31.0,1.0,0.0,1.0,276.0,17,0.0,0.0,40.0,4.0,0.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,
2019,경상남도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9058.0,8,0.0,6.0,6.0,5.0,4.0,234.0,77,1264,0.0,0.0,0.0,1.0,0.0,30.0,0.0,525.0,0,1296.0,0.0,2.0,23.0,2.0,929.0,8,12.0,6.0,0.0,0.0,839.0,12,0.0,0.0,32.0,2.0,0.0,11.0,9.0,0.0,2.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,
2019,제주특별자치도,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,1,0.0,0.0,1.0,3.0,3.0,72.0,12,269,0.0,1.0,0.0,0.0,0.0,17.0,0.0,105.0,0,141.0,0.0,0.0,8.0,0.0,132.0,3,7.0,1.0,0.0,3.0,104.0,1,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,
2019,세종특별자치시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,1,0.0,0.0,0.0,0.0,3.0,391.0,6,93,0.0,0.0,0.0,1.0,0.0,2.0,0.0,50.0,0,1.0,0.0,1.0,0.0,0.0,26.0,1,0.0,0.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,
2020,서울특별시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3870.0,1,0.0,8.0,4.0,3.0,21.0,809.0,16,1214,0.0,0.0,0.0,1.0,0.0,66.0,0.0,329.0,4,5144.0,27,1.0,63.0,0.0,1723.0,57,106.0,11.0,0.0,0.0,97.0,6,1.0,0.0,7.0,18.0,0.0,15.0,1.0,0.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,
2020,부산광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724.0,0,0.0,3.0,9.0,5.0,6.0,89.0,5,496,0.0,1.0,0.0,0.0,0.0,19.0,0.0,132.0,1,2224.0,5,3.0,22.0,0.0,1625.0,2,20.0,8.0,0.0,0.0,413.0,9,0.0,0.0,9.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020,대구광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,0,0.0,1.0,7.0,0.0,8.0,77.0,5,422,0.0,0.0,0.0,0.0,0.0,13.0,0.0,39.0,0,1278.0,3,2.0,14.0,0.0,431.0,3,11.0,0.0,0.0,0.0,125.0,1,0.0,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,
2020,인천광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,0,0.0,3.0,2.0,1.0,6.0,398.0,6,494,0.0,0.0,0.0,1.0,0.0,24.0,0.0,113.0,0,1195.0,13,0.0,18.0,0.0,815.0,48,18.0,6.0,0.0,1.0,33.0,1,0.0,0.0,4.0,5.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
2020,광주광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,0,0.0,0.0,3.0,1.0,18.0,76.0,9,331,0.0,0.0,0.0,0.0,0.0,4.0,0.0,299.0,1,381.0,8,1.0,8.0,0.0,378.0,5,13.0,1.0,0.0,0.0,118.0,3,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
2020,대전광역시,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0,0.0,3.0,0.0,0.0,8.0,141.0,7,266,0.0,0.0,0.0,0.0,0.0,9.0,0.0,86.0,0,282.0,2,0.0,14.0,0.0,231.0,3,7.0,0.0,0.0,0.0,113.0,2,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,
