연도,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2019,52.9,48.9,42.0,55.1,52.1,38.2,41.4,42.2,40.4,29.8,41.4,36.5,41.7,36.3,34.4,35.4,38.2
2020,53.4,48.5,38.5,51.7,51.2,37.8,43.5,53.1,35.9,34.4,52.3,41.2,37.2,34.4,35.9,37.7,33.8
2021,53.7,51.2,36.9,48.5,57.8,40.9,42.2,46.9,38.1,40.6,46.9,42.0,40.1,37.1,34.7,32.3,36.2
2022,55.2,45.0,38.1,50.7,55.9,36.8,38.5,42.5,37.1,39.0,46.4,38.6,35.6,31.8,33.6,32.3,41.8
2023,53.3,42.6,43.7,47.6,52.2,39.9,43.3,47.2,39.8,35.5,47.0,37.4,38.4,35.0,32.9,32.0,35.7
2024,50.4,41.8,42.7,52.6,46.1,44.7,43.1,45.5,42.3,33.5,46.2,42.7,40.8,35.1,26.8,36.2,37.5
